,Year,Engine,Seating,Price
635,2022,1500.0,5.0,7500000.0
636,2001,800.0,4.0,470000.0
637,2022,660.0,4.0,2550000.0
639,2019,1800.0,5.0,4650000.0
640,2015,1600.0,6.0,6100000.0
641,2012,1600.0,5.0,2400000.0
642,2022,2500.0,5.0,8300000.0
643,2021,1200.0,5.0,3550000.0
644,2015,1000.0,5.0,2450000.0
646,2002,3400.0,7.0,9500000.0
647,2002,1500.0,5.0,1450000.0
648,2016,1500.0,5.0,3850000.0
649,2018,1500.0,7.0,3800000.0
650,2002,3400.0,7.0,6200000.0
651,2021,1500.0,5.0,4350000.0
652,2020,1500.0,5.0,3285000.0
653,1999,1600.0,6.0,1000000.0
654,2013,660.0,5.0,1830000.0
656,2014,1800.0,7.0,5800000.0
657,2014,1800.0,7.0,5800000.0
658,2011,1000.0,5.0,1989999.9999999998
660,2011,1000.0,5.0,2275000.0
662,2014,1000.0,5.0,2450000.0
666,2021,2000.0,5.0,6450000.0
667,2022,2000.0,5.0,7100000.0
669,2019,800.0,5.0,830000.0000000001
670,1993,1500.0,5.0,320000.0
672,2001,1500.0,5.0,1050000.0
673,2017,1300.0,5.0,2950000.0
674,2014,1800.0,5.0,2950000.0
675,2016,1500.0,5.0,5700000.0
676,2012,1800.0,5.0,4200000.0
677,2022,1500.0,5.0,6600000.0
678,2011,1000.0,5.0,1080000.0
679,2021,1300.0,5.0,3436500.0
680,2022,1800.0,5.0,5939545.454545455
681,2022,1800.0,5.0,6049103.448275862
682,2022,1200.0,5.0,3958234.567901235
683,2019,1000.0,5.0,2160000.0
684,2022,1800.0,5.0,6050000.0
685,1991,1000.0,5.0,290000.0
687,2021,1300.0,5.0,3300000.0
688,2016,1800.0,5.0,3400000.0
689,2016,1600.0,5.0,3525000.0
691,2015,660.0,4.0,2350000.0
692,2007,1800.0,5.0,2200000.0
693,1997,1500.0,5.0,900000.0
694,2022,660.0,4.0,2170000.0
695,2022,1500.0,5.0,6800000.0
697,2021,1800.0,5.0,6150000.0
698,2007,1300.0,7.0,1480000.0
700,2017,1000.0,5.0,2770000.0
702,2022,1000.0,8.0,2464437.5
703,2009,1000.0,5.0,930000.0000000001
705,2021,2500.0,5.0,8550000.0
706,2022,1500.0,5.0,6900000.0
708,2018,660.0,4.0,3085000.0
709,2018,660.0,4.0,3170000.0
710,2017,660.0,4.0,3180000.0
711,2022,1000.0,5.0,2900000.0
712,2006,3000.0,7.0,4500000.0
713,2022,1200.0,5.0,3775000.0
714,2012,1800.0,5.0,3800000.0
715,2011,1800.0,5.0,1850000.0
716,2015,1800.0,5.0,3250000.0
717,2007,1800.0,7.0,2600000.0
718,2022,2000.0,5.0,6850000.0
722,2001,1300.0,5.0,999000.0
723,2019,1800.0,5.0,4715000.0
724,2017,1000.0,5.0,1875000.0
725,2005,800.0,5.0,685000.0
726,1986,1000.0,4.0,250000.0
727,2006,1300.0,7.0,1745000.0
728,2012,1800.0,5.0,2450000.0
730,1985,1000.0,5.0,450000.0
731,2020,1000.0,5.0,2400000.0
732,2022,1200.0,5.0,3875000.0
733,2011,1800.0,5.0,3825000.0
734,2016,1500.0,5.0,2790000.0
735,2022,1600.0,5.0,4900000.0
736,2004,1000.0,5.0,695000.0
737,2017,1000.0,5.0,1845000.0
738,2020,1000.0,5.0,1980000.0
739,2022,1000.0,5.0,1789999.9999999998
740,2020,1800.0,5.0,5000000.0
741,2020,1000.0,5.0,2195000.0
742,2017,1500.0,7.0,3300000.0
743,2016,1500.0,5.0,3700000.0
744,2013,1000.0,5.0,2225000.0
745,2016,1800.0,5.0,3879999.9999999995
746,2012,1800.0,5.0,5080000.0
747,2018,796.0,4.0,930000.0000000001
748,2022,1600.0,5.0,4965172.413793104
749,1989,800.0,4.0,345000.0
750,2016,2700.0,7.0,19409090.90909091
753,2014,660.0,4.0,1550000.0
754,2018,1500.0,5.0,5525000.0
755,2010,1800.0,5.0,2100000.0
756,2022,1300.0,5.0,3150000.0
757,2015,660.0,4.0,1750000.0
758,2013,1300.0,5.0,2050000.0
760,2010,1800.0,5.0,2300000.0
761,2005,1600.0,5.0,1035000.0
762,2018,796.0,4.0,1350000.0
763,2015,1300.0,5.0,2680000.0
764,2017,1500.0,5.0,3100000.0
765,2007,1500.0,5.0,2750000.0
770,2018,1500.0,7.0,4000000.0
775,2018,1800.0,5.0,4250000.0
776,2022,1500.0,7.0,4350000.0
777,2013,1800.0,5.0,3975000.0
778,1996,1300.0,5.0,690000.0
780,2022,660.0,4.0,2184742.8571428563
781,2022,1500.0,5.0,6875000.0
782,2019,1800.0,5.0,4325000.0
783,2015,800.0,5.0,1030000.0000000001
804,2007,2000.0,5.0,3300000.0
805,2022,1600.0,5.0,5100000.0
806,2019,660.0,5.0,3101111.1111111115
807,2022,1500.0,5.0,6750000.0
808,2022,1500.0,5.0,8200000.0
809,2020,1000.0,5.0,5690000.0
810,2018,1300.0,5.0,3425000.0
811,2019,660.0,4.0,2800000.0
812,1991,3000.0,7.0,2275000.0
836,2022,1200.0,5.0,3925000.0
838,2022,1500.0,5.0,6880000.0
839,2022,2000.0,5.0,7050000.0
840,2022,1500.0,7.0,4750000.0
841,2021,1500.0,7.0,3579999.9999999995
842,2022,1500.0,7.0,4330000.0
843,2022,1500.0,5.0,6884999.999999999
844,2022,2000.0,5.0,7530000.0
845,2022,1200.0,5.0,3850000.0
846,2022,1500.0,5.0,7880000.0
867,2014,1500.0,5.0,3100000.0
868,2007,1800.0,5.0,1500000.0
870,2021,2000.0,5.0,6500000.0
871,2003,3400.0,7.0,7600000.0
872,2018,1600.0,5.0,3675000.0
873,2014,1000.0,5.0,2395000.0
874,2022,660.0,4.0,2135000.0
875,2021,2000.0,5.0,6800000.0
